"","ID","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18"
"6048",630047,0,6,12,22,22,22,22,12,12,12,12,12,12,12,12,6,2,0,0
"6049",630048,0,22,22,22,22,22,22,22,22,12,12,12,12,6,6,2,2,2,0
"6050",630049,0,12,22,36,36,36,22,22,22,22,36,22,22,22,12,12,6,2,0
"6051",630050,0,12,12,22,22,12,22,22,22,22,22,12,6,6,6,2,2,2,0
"6052",630051,0,12,22,22,36,36,36,36,36,22,22,12,6,6,2,2,0,0,0
"6053",630052,0,12,22,22,36,22,36,22,22,22,12,6,6,2,2,2,2,2,0
"6054",630053,0,6,12,6,12,12,22,22,22,22,22,12,6,6,2,0,0,0,0
"6055",630054,0,22,22,22,22,22,22,22,12,12,12,12,12,12,6,6,2,2,0
"6056",630055,0,6,12,22,22,12,12,12,12,12,22,12,12,6,6,6,2,2,0
"6057",630056,0,12,12,22,22,22,12,22,22,22,12,12,12,12,6,2,2,2,0
"6058",630057,0,12,22,36,22,22,22,22,12,12,12,6,6,6,6,2,2,0,0
"6059",630058,0,12,36,57,57,57,86,57,57,36,36,22,22,12,6,6,2,0,0
"6060",630059,0,12,22,36,36,57,57,36,36,36,36,22,12,6,2,2,2,2,0
"6061",630060,0,12,22,22,22,12,12,6,6,6,12,12,6,6,2,2,2,2,0
"6062",630061,0,12,36,36,57,57,57,36,36,22,22,12,6,6,2,2,2,0,0
"6063",630062,0,12,12,22,22,22,36,22,22,22,12,12,6,6,6,6,2,2,0
"6064",630063,0,6,22,22,36,36,36,36,22,22,12,12,12,12,12,6,2,2,0
"6065",630064,0,6,12,12,22,22,22,22,22,22,12,12,12,12,6,2,2,2,0
"6066",630065,0,12,22,36,36,22,22,22,22,22,22,36,36,22,12,12,6,2,0
"6067",630066,0,12,36,22,36,22,22,22,36,22,12,12,6,6,6,6,6,2,0
"6068",630067,0,6,12,22,22,36,22,22,22,22,22,22,12,12,12,6,6,2,0
"6069",630068,0,12,22,36,22,22,22,22,12,22,22,12,12,6,6,6,2,0,0
"6070",630069,0,22,22,22,22,22,12,12,22,12,12,22,12,12,12,6,2,2,0
"6071",630070,0,12,22,22,22,22,12,12,12,6,2,6,2,2,2,0,0,0,0
"6072",630071,0,12,22,12,22,12,6,12,12,6,6,6,6,2,2,2,6,2,0
"6073",630072,0,22,36,36,57,57,86,57,36,36,36,22,12,12,12,6,2,2,0
"6074",630073,0,12,22,22,22,22,22,22,12,12,12,12,12,6,2,0,0,0,0
"6075",630074,0,22,22,36,36,36,36,36,36,36,22,22,12,6,2,0,0,0,0
"6076",630075,0,22,22,36,22,22,36,36,22,22,22,22,22,12,12,6,2,2,0
"6077",630076,0,6,12,12,12,22,12,12,6,6,6,6,6,2,2,2,0,0,0
"6078",630077,0,22,22,22,57,36,22,36,22,22,12,12,12,6,6,2,2,2,0
"6079",630078,0,12,12,22,22,36,22,36,22,22,12,6,6,6,6,2,0,0,0
